The num.28 descpters is : ,1318.28,1012.35,1047.88,1074.42,1269.05,1084.71,1048.68,1081.98,1258.14,1406.43,1113.44,1075,1237.43,1205.74,1140.63,1237.44,1513.94,1228.43,2069.48
The num.29 descpters is : ,937.528,764.49,771.349,764.181,915.17,768.77,784.844,759.272,908.144,996.808,786.611,770.121,901.881,828.947,772.374,931.286,1048.56,821.121,1250.81
The num.30 descpters is : ,456370,448525,405088,308212,306382,379617,515898,314029,479954,552968,423506,357890,417182,515813,309313,519348,653833,394269,529902
The num.31 descpters is : ,1154.78,1037.77,996.731,837.068,1300.66,1031.94,1103.98,824.604,1189.29,1249.75,906.526,963.15,1175.38,978.167,861.237,1229.22,1255.9,819.133,1078.08
The num.32 descpters is : ,68.4152,50.3044,48.2584,60.4355,86.3602,50.1538,53.7506,56.1672,71.5333,68.2434,52.9812,65.4066,65.6674,57.0668,62.2637,72.6573,71.4276,57.0828,88.5135
The num.33 descpters is : ,843.229,674.902,616.306,722.417,870.734,694.263,596.556,661.257,919.51,923.693,603.695,599.227,893.388,675.817,567.188,800.646,770.428,662.606,1066.33
The num.34 descpters is : ,18.0055,14.07,13.9626,13.4066,20.4842,13.5537,14.334,13.2709,17.763,19.5179,13.8986,12.6636,18.0096,14.3725,12.6402,18.6993,19.3147,14.265,16.5566
The num.35 descpters is : ,25.1045,18.7972,19.9777,16.0644,25.238,19.511,19.628,16.6542,23.2119,23.6322,21.176,16.4774,24.1883,20.7126,17.1545,23.8892,27.4638,15.9607,25.464
The num.36 descpters is : ,35.5671,25.8666,28.525,25.5889,34.9196,26.6327,28.6616,28.247,33.7841,35.4005,29.5586,25.6126,36.2991,28.0746,27.1229,35.0754,37.7948,29.0652,47.0608
The num.37 descpters is : ,31.4937,25.427,26.0372,26.2962,31.4164,26.7143,25.9246,26.4378,30.5017,33.2056,27.3552,26.5554,30.6834,28.0088,27.2951,30.6065,34.8867,28.6953,46.495
The num.38 descpters is : ,25.2924,19.8771,22.4958,21.3538,25.6464,20.138,21.1586,21.0592,27.2104,26.1128,20.9424,21.064,27.558,21.304,20.0592,26.4153,28.7951,19.8553,29.571
The num.39 descpters is : ,924.798,733.351,715.943,688.452,856.02,742.423,720.04,712.305,866.64,959.348,726.176,710.892,908.979,741.701,711.947,898.048,929.344,732.943,1028.86
The num.40 descpters is : ,122445,83075.9,98668.9,87844.7,110183,91650.1,93159.9,93221,106921,106727,104885,85231.2,111691,96491.6,96422.8,107907,134531,89204.2,147637
