num,area,Width,Height,w/h,E,熵,MSA
104,332,14.1014,29.9472,0.470874,0.723426,,
105,142,7.08489,25.5377,0.277428,0.516646,,
106,8794.5,66.7398,168.034,0.397181,0.666691,,
107,1333,28.7825,59.0252,0.487631,0.742255,,
108,422.5,14.1242,38.1252,0.370468,0.638972,,
109,499,15.7298,40.0929,0.392334,0.667664,,
110,6771.5,77.5909,112.141,0.691905,0.858474,,
111,9474.5,76.0588,161.493,0.470972,0.745377,,
112,90.5,6.849,18.5454,0.369309,0.643427,,
113,406,16.7,30.5637,0.546399,0.759857,,
114,108,6.7285,20.8366,0.322917,0.582133,,
115,156.5,8.44704,24.4496,0.345488,0.608075,,
116,146.5,8.92045,21.373,0.417369,0.667243,,
117,185,11.0085,21.4737,0.512649,0.73385,,
118,60.5,6.71116,11.6569,0.575726,0.76347,,
119,90.5,6.33961,18.4747,0.343151,0.586316,,
120,9263,69.3969,170.064,0.408065,0.673581,,
121,367,12.4919,37.4502,0.33356,0.585259,,
122,443,16.1453,34.3887,0.469493,0.731197,,
123,568,18.6534,38.8399,0.480263,0.736775,,
124,59,5.44467,14.6256,0.372269,0.618332,,
125,68.5,5.65384,16.0653,0.351929,0.594815,,
126,336,12.6715,33.4595,0.378711,0.623613,,
127,377.5,13.3659,35.2293,0.379396,0.645923,,
128,488,15.8678,38.7549,0.409439,0.682798,,
129,717.5,21.6223,42.2679,0.511555,0.75201,,
130,107,8.54561,16.9855,0.503113,0.769595,,
131,65,5.74718,15.7813,0.364177,0.593032,,
132,67.5,6.78388,14.7511,0.459891,0.73812,,
133,59,8.0577,9.32193,0.864381,0.86282,,
134,64.5,8.91637,9.98516,0.892961,0.831942,,
135,59.5,2.60208,29.2575,0.0889371,0.192119,,
136,103,7.16052,19.1512,0.373895,0.660006,,
137,123.5,7.71611,20.5756,0.375012,0.599725,,
138,245,12.5258,25.0701,0.499629,0.733895,,
139,71.5,7.18692,12.8786,0.55805,0.759947,,
140,8033,52.7557,194.04,0.271881,0.519202,,
141,8065,51.9329,197.703,0.262682,0.504719,,
142,8610.5,52.7009,207.931,0.253454,0.495033,,
143,220,11.0592,25.2007,0.438845,0.720567,,
144,567,15.5427,45.8916,0.338683,0.587963,,
145,1549,38.1357,51.9345,0.734304,0.860901,,
